resample,low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,3,18,92.1401712269755,0.743563561470728,0.175259612186391,0.00806991729632295,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,4,18,152.851757721555,1.26669275199414,0.298562344871636,0.00828706696524636,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,5,18,177.670543875146,1.29370527984691,0.304929258745531,0.00728148432278135,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,6,18,143.396357146021,0.673109029851794,0.158653319828701,0.00469404553399056,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,7,18,96.842753497367,1.93055367738845,0.455035865575333,0.0199349317080388,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,8,18,91.162727089501,2.94192011420866,0.693417220822015,0.0322710849942034,TAS1E23150139: 60Hz, 8g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,2,18,40.9833483837287,0.70683846222718,0.166603423281437,0.0172469671245264,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,3,18,36.5530555417137,0.246254400493276,0.0580427188286078,0.00673690329970513,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,4,18,34.8014477643881,1.04450840211245,0.246192991380012,0.030013360627522,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,5,18,49.2883000215736,8.77991350595478,2.06944545943066,0.178133826934826,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,6,18,34.1731271849123,1.370060907767,0.322926452840215,0.040091762757138,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,7,18,41.805017559472,3.82563052232964,0.901709761551175,0.0915112765324708,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,8,18,41.6301659277513,2.84201524022693,0.669869416199993,0.0682681698929383,ActivPal3: 20Hz, 2g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,2,18,39.3621026164685,0.668760134581203,0.157628275383199,0.0169899494723995,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,3,18,35.3024222591053,0.184669568851205,0.0435270348044943,0.00523107359307546,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,4,18,17.9720386240783,0.159332923724695,0.037555130277337,0.00886560100706811,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,5,18,10.383819087871,0.422925405508489,0.0996844740570411,0.0407292732981544,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,6,18,10.2623549829848,0.678770337941357,0.159987702942206,0.0661417714614994,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,7,18,7.07437704962022,0.914567212797289,0.215565559339948,0.129278833511763,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,8,18,6.47128851496717,0.511355201943625,0.120527576963118,0.0790190702764887,CLE2B41120128: 40Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,1,30,10.990577483844,0.143059805751166,0.0261190275607404,0.0130165867955039,CLE2B41120128: 80Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,2,30,41.1755400625185,0.518181215550434,0.0946065135441397,0.0125846853438633,CLE2B41120128: 80Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,3,24,36.9802508247449,0.195402759906365,0.039886421341847,0.00528397605609568,CLE2B41120128: 80Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,4,24,18.8147925747885,0.161576994026523,0.0329817657948089,0.00858776377067444,CLE2B41120128: 80Hz, 6g
50,0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,5,24,10.9034151068313,0.411969283801416,0.0840928779177751,0.0377835090900379,CLE2B41120128: 80Hz, 6g
