HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:46,-0.902,origin
2016-02-26 14:17:46,-0.844,origin
2016-02-26 14:17:46,-0.75,origin
2016-02-26 14:17:46,-0.59,origin
2016-02-26 14:17:46,-0.305,origin
2016-02-26 14:17:46,0.164,origin
2016-02-26 14:17:46,1.055,origin
2016-02-26 14:17:46,1.98699550902863,origin
2016-02-26 14:17:46,2.00052080330947,origin
2016-02-26 14:17:46,2.00505627508112,origin
2016-02-26 14:17:46,2.01405926350609,origin
2016-02-26 14:17:46,1.99813663820972,origin
2016-02-26 14:17:46,2.00018580256271,origin
2016-02-26 14:17:46,2.00173913554982,origin
2016-02-26 14:17:46,1.98817821976264,origin
2016-02-26 14:17:46,1.9830375233575,origin
2016-02-26 14:17:46,2.01321482112578,origin
2016-02-26 14:17:46,1.727,origin
2016-02-26 14:17:46,1.402,origin
2016-02-26 14:17:46,1.078,origin
2016-02-26 14:17:46,0.789,origin
2016-02-26 14:17:46,0.551,origin
2016-02-26 14:17:46,0.355,origin
2016-02-26 14:17:46,0.316,origin
2016-02-26 14:17:46,0.301,origin
2016-02-26 14:17:46,0.137,origin
2016-02-26 14:17:46,0.02,origin
2016-02-26 14:17:46,-0.004,origin
2016-02-26 14:17:47,-0.098,origin
2016-02-26 14:17:47,-0.191,origin
2016-02-26 14:17:47,-0.102,origin
2016-02-26 14:17:47,-0.02,origin
2016-02-26 14:17:47,-0.02,origin
2016-02-26 14:17:47,0.047,origin
2016-02-26 14:17:47,0.258,origin
2016-02-26 14:17:47,0.652,origin
2016-02-26 14:17:47,1.328,origin
2016-02-26 14:17:47,1.99995013554666,origin
2016-02-26 14:17:47,1.98556359270561,origin
2016-02-26 14:17:47,1.99121659794391,origin
2016-02-26 14:17:47,1.99915230176774,origin
2016-02-26 14:17:47,1.99881661541006,origin
2016-02-26 14:17:47,1.99018299118145,origin
2016-02-26 14:17:47,1.98916979925843,origin
2016-02-26 14:17:47,1.99234208653287,origin
2016-02-26 14:17:47,1.867,origin
2016-02-26 14:17:47,1.531,origin
2016-02-26 14:17:47,1.25,origin
2016-02-26 14:17:47,0.969,origin
2016-02-26 14:17:47,0.707,origin
2016-02-26 14:17:47,0.477,origin
2016-02-26 14:17:47,0.23,origin
2016-02-26 14:17:47,-0.047,origin
2016-02-26 14:17:47,-0.336,origin
2016-02-26 14:17:47,-0.625,origin
2016-02-26 14:17:47,-0.871,origin
2016-02-26 14:17:47,-1.039,origin
2016-02-26 14:17:47,-1.137,origin
2016-02-26 14:17:47,-1.188,origin
2016-02-26 14:17:47,-1.188,origin
2016-02-26 14:17:47,-1.129,origin
2016-02-26 14:17:47,-1.035,origin
2016-02-26 14:17:47,-0.953,origin
2016-02-26 14:17:47,-0.895,origin
2016-02-26 14:17:47,-0.84,origin
2016-02-26 14:17:47,-0.773,origin
2016-02-26 14:17:47,-0.672,origin
2016-02-26 14:17:47,-0.523,origin
2016-02-26 14:17:47,-0.309,origin
2016-02-26 14:17:47,0.023,origin
2016-02-26 14:17:47,0.457,origin
2016-02-26 14:17:47,1.027,origin
2016-02-26 14:17:47,1.813,origin
2016-02-26 14:17:47,2.01151635956365,origin
2016-02-26 14:17:47,2.0033141289202,origin
2016-02-26 14:17:47,2.00459050469866,origin
2016-02-26 14:17:47,2.00524221563945,origin
2016-02-26 14:17:47,2.00261410601385,origin
2016-02-26 14:17:47,2.01376182055286,origin
2016-02-26 14:17:47,2.0026776483823,origin
2016-02-26 14:17:47,1.949,origin
2016-02-26 14:17:47,1.531,origin
2016-02-26 14:17:47,1.328,origin
2016-02-26 14:17:47,1.27,origin
2016-02-26 14:17:47,1.25,origin
2016-02-26 14:17:47,1.16,origin
2016-02-26 14:17:47,1.027,origin
2016-02-26 14:17:47,0.891,origin
2016-02-26 14:17:47,0.75,origin
2016-02-26 14:17:47,0.621,origin
2016-02-26 14:17:47,0.445,origin
2016-02-26 14:17:47,0.27,origin
2016-02-26 14:17:47,0.168,origin
2016-02-26 14:17:47,0.137,origin
2016-02-26 14:17:47,0.164,origin
2016-02-26 14:17:47,0.211,origin
2016-02-26 14:17:47,0.246,origin
2016-02-26 14:17:47,0.25,origin
2016-02-26 14:17:47,0.227,origin
2016-02-26 14:17:47,0.254,origin
