ID,MPH,name,LOCATION,N,mean,sd,se,cv,SR,GRANGE,SERIES
GT3X+2g,4.3,Biobank ENMO algorithm,Nondominant wrist,75,2.99904,0.860813402889729,0.0993981699760845,0.287029650451387,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,4.3,Biobank ENMO algorithm,Waist,75,3.16288,0.574749227571986,0.0663663242510431,0.181717051412632,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,5,Biobank ENMO algorithm,Nondominant wrist,73,5.08241095890411,1.29326112164834,0.151364765301876,0.254458195550404,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,5,Biobank ENMO algorithm,Waist,73,4.24208219178082,0.615253194344154,0.0720099396821236,0.145035660915818,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,6.2,Biobank ENMO algorithm,Nondominant wrist,75,6.50048,2.03556316239711,0.235046587952491,0.313140439228658,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,6.2,Biobank ENMO algorithm,Waist,75,4.64416,0.832290863918475,0.0961046708654796,0.179212357868479,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,7.5,Biobank ENMO algorithm,Nondominant wrist,75,7.35552,1.7642894853476,0.203722601858773,0.239859246572316,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,7.5,Biobank ENMO algorithm,Waist,75,4.98032,0.906160479791044,0.104634399387272,0.181948244247567,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,8.6,Biobank ENMO algorithm,Nondominant wrist,74,8.66805405405405,2.49947356589886,0.290557900138337,0.288354635344003,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,8.6,Biobank ENMO algorithm,Waist,74,5.26556756756757,1.07131665350839,0.124538031317281,0.203457013847281,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,10,Biobank ENMO algorithm,Nondominant wrist,75,10.976,3.20017830584316,0.36952476126667,0.291561434570259,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,10,Biobank ENMO algorithm,Waist,75,5.90432,1.10355744361195,0.127427837427115,0.186906780732066,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,11.2,Biobank ENMO algorithm,Nondominant wrist,68,12.7344705882353,3.89924937464754,0.472853442126335,0.306196425491755,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,11.2,Biobank ENMO algorithm,Waist,68,6.33670588235294,1.29876302870886,0.157498151470992,0.204958704541704,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,12.4,Biobank ENMO algorithm,Nondominant wrist,62,13.6563870967742,3.94042731873803,0.50043476991475,0.28854098018859,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,12.4,Biobank ENMO algorithm,Waist,62,6.56516129032258,1.51042183005494,0.191823764240837,0.230066218217881,80,2,GT3X+2g: 80Hz, 2g
GT9X,1.9,Biobank ENMO algorithm,Nondominant wrist,73,0.790027397260274,0.175065858449101,0.0204899089077582,0.221594667547239,86.5753424657534,8,GT9X: 86.5753424657534Hz, 8g
GT9X,1.9,Biobank ENMO algorithm,Waist,73,0.822739726027397,0.161158137261137,0.0188621332650349,0.195879853813903,86.5753424657534,8,GT9X: 86.5753424657534Hz, 8g
GT9X,3.1,Biobank ENMO algorithm,Nondominant wrist,74,1.60621621621622,0.249120000256809,0.0289596117937137,0.15509742570254,86.4864864864865,8,GT9X: 86.4864864864865Hz, 8g
GT9X,3.1,Biobank ENMO algorithm,Waist,74,1.77648648648649,0.314922701681002,0.0366090204572407,0.177272782020342,86.4864864864865,8,GT9X: 86.4864864864865Hz, 8g
