low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,4,18,220.400064025098,0.492761993487185,0.11614511570193,0.00223576157142618,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,5,18,241.626445502592,0.862087707206269,0.203196021247705,0.00356785328449083,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,6,18,160.084681475949,2.05279250153471,0.483847832734697,0.0128231663555087,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,7,18,105.790866364021,5.78733070377905,1.36408692853709,0.0547053909537437,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,8,18,107.560604253854,12.1595172021255,2.86602568985914,0.113048055898122,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,1,30,16.0079259326188,1.65187391651852,0.301589535410533,0.103191001974375,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,2,30,61.7663791693212,1.34079234715024,0.244794071154828,0.0217074784888184,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,3,24,137.935958701269,0.908119036116127,0.18536902201605,0.00658362797247713,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,4,24,232.35772416073,0.716250038747207,0.146203926931611,0.00308253164956871,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,5,24,273.360136239627,0.297125749367643,0.0606505396160673,0.00108693883993087,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,6,24,233.737441046907,0.854294745886711,0.174382184780255,0.00365493325357006,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,7,18,182.076733796028,1.00404308230096,0.236655224032817,0.00551439528471409,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,8,24,163.668605149363,3.66384957614447,0.747880162988864,0.0223857811508863,TAS1C32140067: 100Hz, 16g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,2,18,59.8914880655888,1.46736413011738,0.345861042291966,0.0245003785598119,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,3,18,132.736002048477,0.656448544510848,0.154726405774553,0.00494551993716898,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,4,18,219.498806010059,0.375728553864735,0.0885600694410564,0.00171175670927119,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,5,18,256.462010356673,0.442868288273314,0.104385056603513,0.00172683777865345,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,6,18,215.2853582898,0.681008102293347,0.160515149058203,0.00316328108749796,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,7,18,154.159989549835,2.82457770949008,0.665759350789602,0.0183223787036972,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,8,18,146.382355439768,5.29034165457229,1.24694548624724,0.0361405692556238,TAS1E23150139: 60Hz, 8g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,2,18,57.591376191395,1.41909495866677,0.334483889473639,0.0246407544412666,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,3,18,52.0855786653354,2.02429990914331,0.477132064303515,0.0388648827759025,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,4,18,49.9342258178235,2.03059383021127,0.478615555725985,0.0406653712349431,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,5,18,69.9618110645846,12.7515081714023,3.0055592994514,0.182263837618938,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,6,18,50.3140813133283,2.59382305629935,0.611369957435762,0.0515526267914235,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,7,18,61.1866465985349,4.48771592833041,1.05776478832044,0.0733446949262598,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),ActivPal3,2,20,8,18,61.4845031472217,3.45433114689259,0.814193659477218,0.0561821429803435,ActivPal3: 20Hz, 2g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,2,18,56.0034007340523,0.928417632279906,0.218830134519427,0.0165778795592924,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,3,18,50.9494202844603,1.61948177188898,0.381715514303569,0.0317860686705974,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,4,18,27.3565836957521,2.04862145703601,0.482864708118144,0.0748858658602946,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,5,18,17.3551861528028,2.23969164275685,0.527900382786735,0.129050280592649,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,6,18,19.8096679037602,1.76485754430465,0.415980912468685,0.0890907183744182,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,7,18,17.7788618851155,2.47091817071445,0.582400998089749,0.138980671917088,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,40,8,18,16.0904612560952,2.10673455256618,0.496562096093184,0.130930650093585,CLE2B41120128: 40Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,1,30,15.670701584486,1.38954300096534,0.253694682084046,0.08867139696802,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,2,30,57.7977189013673,0.873190111449394,0.159421973677094,0.0151076915844985,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,3,24,52.7108353061245,1.47663768596579,0.301417405465025,0.0280139306726984,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,4,24,28.0893899281983,1.84786918494848,0.377194717878035,0.0657853086048498,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,5,24,17.3806475012908,1.99411173682647,0.407046353776666,0.114731728877096,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,6,24,17.2311607757134,2.18198976723491,0.445396796141647,0.126630457206942,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,7,18,29.5375913224465,1.82022825225681,0.429031913492709,0.061624126097024,CLE2B41120128: 80Hz, 6g
0.25,2.5,TRUE,TRUE,Proposed with narrow passband (0.25-2.5Hz),CLE2B41120128,6,80,8,24,27.7308642479259,2.98445446436828,0.609199216522797,0.107622122328607,CLE2B41120128: 80Hz, 6g
